epoch word_index word pe_old pe_current pe_difference weight1_old weight1_current weight1_difference weight2_old weight2_current weight2_difference final_pe_change final_weight1_change final_weight2_change
10 8 tectonic 0.014006 0.013681 -0.000324 -0.000053 -0.000051 0.000002 0.000013 0.000019 0.000006 - + +
10 9 plates -0.019368 -0.018919 0.000449 -0.000102 -0.000097 0.000005 0.000025 0.000037 0.000012 + + +
10 10 clashing. 0.046106 0.045038 -0.001068 -0.000577 -0.000551 0.000026 0.000140 0.000208 0.000068 - + +
10 11 Rivers -0.027798 -0.027154 0.000644 -0.000210 -0.000200 0.000010 0.000051 0.000076 0.000025 + + +
10 12 carve -0.000610 -0.000596 0.000014 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 + + +
10 13 valleys, -0.036007 -0.035173 0.000834 -0.000352 -0.000336 0.000016 0.000086 0.000127 0.000041 + + +
10 14 flowing -0.037172 -0.036311 0.000861 -0.000375 -0.000358 0.000017 0.000091 0.000135 0.000044 + + +
10 15 to -0.011843 -0.011569 0.000274 -0.000038 -0.000036 0.000002 0.000009 0.000014 0.000004 + + +
10 16 oceans. 0.005367 0.005243 -0.000124 -0.000008 -0.000007 0.000000 0.000002 0.000003 0.000001 - + +
10 17 Climate 0.046200 0.045129 -0.001070 -0.000579 -0.000553 0.000027 0.000141 0.000209 0.000068 - + +
10 18 varies—deserts -0.002251 -0.002199 0.000052 -0.000001 -0.000001 0.000000 0.000000 0.000000 0.000000 + + +
10 19 bake, -0.018323 -0.017898 0.000425 -0.000091 -0.000087 0.000004 0.000022 0.000033 0.000011 + + +
10 20 tundras -0.026317 -0.025707 0.000610 -0.000188 -0.000179 0.000009 0.000046 0.000068 0.000022 + + +
10 21 freeze. -0.034680 -0.033876 0.000803 -0.000326 -0.000312 0.000015 0.000079 0.000118 0.000038 + + +
10 22 Population 0.040585 0.039645 -0.000940 -0.000447 -0.000427 0.000020 0.000109 0.000161 0.000052 - + +
10 23 clusters 0.013655 0.013339 -0.000316 -0.000051 -0.000048 0.000002 0.000012 0.000018 0.000006 - + +
10 24 in -0.015132 -0.014781 0.000351 -0.000062 -0.000059 0.000003 0.000015 0.000022 0.000007 + + +
10 25 cities, 0.044791 0.043753 -0.001038 -0.000545 -0.000520 0.000025 0.000132 0.000196 0.000064 - + +
10 26 spreading -0.030689 -0.029978 0.000711 -0.000256 -0.000244 0.000012 0.000062 0.000092 0.000030 + + +
10 27 culture. -0.045647 -0.044590 0.001058 -0.000566 -0.000540 0.000026 0.000137 0.000204 0.000066 + + +
10 28 Resources 0.047019 0.045929 -0.001089 -0.000600 -0.000573 0.000028 0.000146 0.000216 0.000070 - + +
10 29 like 0.017057 0.016662 -0.000395 -0.000079 -0.000075 0.000004 0.000019 0.000028 0.000009 - + +
10 30 oil -0.008062 -0.007876 0.000187 -0.000018 -0.000017 0.000001 0.000004 0.000006 0.000002 + + +
10 31 or 0.019792 0.019334 -0.000459 -0.000106 -0.000101 0.000005 0.000026 0.000038 0.000012 - + +
10 32 water -0.007218 -0.007051 0.000167 -0.000014 -0.000013 0.000001 0.000003 0.000005 0.000002 + + +
10 33 shape 0.000996 0.000973 -0.000023 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 - + +
10 34 economies. -0.035470 -0.034648 0.000822 -0.000342 -0.000326 0.000016 0.000083 0.000123 0.000040 + + +
10 35 Maps 0.025178 0.024595 -0.000583 -0.000172 -0.000164 0.000008 0.000042 0.000062 0.000020 - + +
10 36 guide -0.036740 -0.035889 0.000851 -0.000366 -0.000350 0.000017 0.000089 0.000132 0.000043 + + +
10 37 travel, 0.038870 0.037969 -0.000901 -0.000410 -0.000391 0.000019 0.000100 0.000148 0.000048 - + +
10 38 showing -0.033371 -0.032598 0.000773 -0.000302 -0.000288 0.000014 0.000073 0.000109 0.000035 + + +
10 39 borders -0.009814 -0.009587 0.000227 -0.000026 -0.000025 0.000001 0.000006 0.000009 0.000003 + + +
10 40 and -0.026096 -0.025491 0.000605 -0.000185 -0.000176 0.000008 0.000045 0.000067 0.000022 + + +
10 41 terrain. -0.006285 -0.006139 0.000146 -0.000011 -0.000010 0.000000 0.000003 0.000004 0.000001 + + +
10 42 explains 0.024617 0.024047 -0.000570 -0.000165 -0.000157 0.000008 0.000040 0.000059 0.000019 - + +
10 43 human-environment -0.021138 -0.020648 0.000490 -0.000121 -0.000116 0.000006 0.000029 0.000044 0.000014 + + +
10 44 ties. 0.016251 0.015874 -0.000377 -0.000072 -0.000068 0.000003 0.000017 0.000026 0.000008 - + +
10 45 end_token 0.021496 0.012966 -0.008531 -0.000125 -0.000046 0.000080 0.000030 0.000017 -0.000013 - + -
15 1 Geography -0.120304 -0.190320 -0.070016 -0.003929 -0.009832 -0.005903 0.001483 0.004260 0.002777 - - +
