epoch word_index word pe_old pe_current pe_difference weight1_old weight1_current weight1_difference weight2_old weight2_current weight2_difference final_pe_change final_weight1_change final_weight2_change
5 53 end_token 0.000000 -0.028149 -0.028149 0.000000 0.001173 0.001173 0.000000 -0.000598 -0.000598 - + -
10 1 Literature -0.041712 -0.039593 0.002119 0.002576 0.002321 -0.000255 -0.001314 -0.006469 -0.005155 + - -
10 2 tells -0.033810 -0.032092 0.001717 0.001692 0.001525 -0.000168 -0.000863 -0.004250 -0.003387 + - -
10 3 stories -0.016175 -0.015354 0.000822 0.000387 0.000349 -0.000038 -0.000198 -0.000973 -0.000775 + - -
10 4 through -0.031034 -0.029458 0.001576 0.001426 0.001285 -0.000141 -0.000727 -0.003581 -0.002854 + - -
10 5 words. 0.011031 0.010471 -0.000560 0.000180 0.000162 -0.000018 -0.000092 -0.000452 -0.000361 - - -
10 6 Shakespeare 0.001697 0.001611 -0.000086 0.000004 0.000004 -0.000000 -0.000002 -0.000011 -0.000009 - - -
10 7 wrote -0.040638 -0.038574 0.002064 0.002445 0.002203 -0.000242 -0.001247 -0.006140 -0.004893 + - -
10 8 plays -0.001721 -0.001633 0.000087 0.000004 0.000004 -0.000000 -0.000002 -0.000011 -0.000009 + - -
10 9 like -0.035647 -0.054790 -0.019143 0.001881 0.004444 0.002563 -0.000959 -0.012388 -0.011428 - + -
10 10 Hamlet, 0.045617 0.043300 -0.002317 0.003081 0.002776 -0.000305 -0.001571 -0.007737 -0.006166 - - -
10 11 exploring 0.005107 0.004848 -0.000259 0.000039 0.000035 -0.000004 -0.000020 -0.000097 -0.000077 - - -
10 12 tragedy 0.003084 0.002927 -0.000157 0.000014 0.000013 -0.000001 -0.000007 -0.000035 -0.000028 - - -
10 13 and 0.174646 0.703848 0.529203 0.045155 0.733376 0.688222 -0.023029 -2.044307 -2.021278 + + -
10 14 human -0.043085 -0.040897 0.002188 0.002748 0.002476 -0.000272 -0.001402 -0.006902 -0.005500 + - -
10 15 nature. 0.003353 0.003183 -0.000170 0.000017 0.000015 -0.000002 -0.000008 -0.000042 -0.000033 - - -
10 16 Novels, 0.027637 0.026233 -0.001404 0.001131 0.001019 -0.000112 -0.000577 -0.002840 -0.002263 - - -
10 17 Dickens’ 0.041363 0.039262 -0.002101 0.002533 0.002282 -0.000251 -0.001292 -0.006361 -0.005069 - - -
10 18 tales, -0.038570 -0.036611 0.001959 0.002202 0.001984 -0.000218 -0.001123 -0.005531 -0.004408 + - -
10 19 paint 0.018055 0.017138 -0.000917 0.000483 0.000435 -0.000048 -0.000246 -0.001212 -0.000966 - - -
10 20 society’s 0.045750 0.043427 -0.002324 0.003099 0.002792 -0.000307 -0.001580 -0.007782 -0.006202 - - -
10 21 struggles. -0.000316 -0.000300 0.000016 0.000000 0.000000 -0.000000 -0.000000 -0.000000 -0.000000 + - -
10 22 Poetry -0.005722 -0.005432 0.000291 0.000048 0.000044 -0.000005 -0.000025 -0.000122 -0.000097 + - -
10 23 uses -0.013420 -0.012739 0.000682 0.000267 0.000240 -0.000026 -0.000136 -0.000670 -0.000534 + - -
10 24 rhythm—think -0.008273 -0.007853 0.000420 0.000101 0.000091 -0.000010 -0.000052 -0.000254 -0.000203 + - -
10 25 Frost’s 0.022421 0.021282 -0.001139 0.000744 0.000670 -0.000074 -0.000380 -0.001869 -0.001489 - - -
10 26 “roads -0.020241 -0.019213 0.001028 0.000607 0.000546 -0.000060 -0.000309 -0.001523 -0.001214 + - -
10 27 diverged.” -0.024020 -0.022800 0.001220 0.000854 0.000770 -0.000085 -0.000436 -0.002145 -0.001710 + - -
10 28 Themes -0.002802 -0.002660 0.000142 0.000012 0.000010 -0.000001 -0.000006 -0.000029 -0.000023 + - -
10 29 of -0.034055 -0.032326 0.001730 0.001717 0.001547 -0.000170 -0.000876 -0.004312 -0.003436 + - -
10 30 love, 0.018283 0.017354 -0.000929 0.000495 0.000446 -0.000049 -0.000252 -0.001243 -0.000990 - - -
10 31 death, -0.039871 -0.037846 0.002025 0.002353 0.002120 -0.000233 -0.001200 -0.005911 -0.004710 + - -
10 32 identity 0.002092 0.001986 -0.000106 0.000006 0.000006 -0.000001 -0.000003 -0.000016 -0.000013 - - -
10 33 recur. 0.026810 0.025448 -0.001362 0.001064 0.000959 -0.000105 -0.000543 -0.002672 -0.002130 - - -
10 34 Authors 0.024801 0.023541 -0.001260 0.000911 0.000820 -0.000090 -0.000464 -0.002287 -0.001822 - - -
10 35 craft 0.044048 0.041811 -0.002237 0.002872 0.002588 -0.000284 -0.001465 -0.007214 -0.005749 - - -
10 36 characters, 0.011496 0.010912 -0.000584 0.000196 0.000176 -0.000019 -0.000100 -0.000491 -0.000392 - - -
10 37 from 0.042914 0.040735 -0.002180 0.002726 0.002456 -0.000270 -0.001390 -0.006847 -0.005457 - - -
10 38 heroes -0.013004 -0.012343 0.000660 0.000250 0.000226 -0.000025 -0.000128 -0.000629 -0.000501 + - -
10 39 to 0.006369 0.006046 -0.000324 0.000060 0.000054 -0.000006 -0.000031 -0.000151 -0.000120 - - -
10 40 villains, 0.036935 0.035059 -0.001876 0.002020 0.001820 -0.000200 -0.001030 -0.005072 -0.004042 - - -
10 41 driving 0.020869 0.019809 -0.001060 0.000645 0.000581 -0.000064 -0.000329 -0.001619 -0.001290 - - -
10 42 plots. -0.044452 -0.042194 0.002258 0.002925 0.002636 -0.000290 -0.001492 -0.007347 -0.005855 + - -
10 43 Books -0.004288 -0.004070 0.000218 0.000027 0.000025 -0.000003 -0.000014 -0.000068 -0.000054 + - -
10 44 shape -0.042702 -0.040534 0.002169 0.002700 0.002432 -0.000267 -0.001377 -0.006780 -0.005403 + - -
10 45 culture, -0.036944 -0.035067 0.001876 0.002021 0.001820 -0.000200 -0.001030 -0.005075 -0.004044 + - -
10 46 inspiring 0.029269 0.027782 -0.001487 0.001268 0.001143 -0.000126 -0.000647 -0.003185 -0.002538 - - -
10 47 films -0.009018 -0.008560 0.000458 0.000120 0.000108 -0.000012 -0.000061 -0.000302 -0.000241 + - -
10 48 debates. -0.018454 -0.017517 0.000937 0.000504 0.000454 -0.000050 -0.000257 -0.001266 -0.001009 + - -
10 49 Reading -0.005661 -0.005373 0.000288 0.000047 0.000043 -0.000005 -0.000024 -0.000119 -0.000095 + - -
10 50 builds -0.011295 -0.010721 0.000574 0.000189 0.000170 -0.000019 -0.000096 -0.000474 -0.000378 + - -
10 51 empathy -0.031449 -0.029852 0.001597 0.001464 0.001319 -0.000145 -0.000747 -0.003677 -0.002931 + - -
10 52 imagination. 0.027969 0.026548 -0.001421 0.001158 0.001043 -0.000115 -0.000591 -0.002908 -0.002318 - - -
10 53 end_token -0.028149 -0.016501 0.011648 0.001173 0.000403 -0.000770 -0.000598 -0.001124 -0.000525 + - -
15 1 Literature -0.039593 -0.037581 0.002012 0.002321 0.002090 -0.000231 -0.006469 -0.018034 -0.011565 + - -
15 2 tells -0.032092 -0.030461 0.001631 0.001525 0.001373 -0.000152 -0.004250 -0.011848 -0.007598 + - -
15 3 stories -0.015354 -0.014574 0.000780 0.000349 0.000314 -0.000035 -0.000973 -0.002712 -0.001739 + - -
15 4 through -0.029458 -0.027961 0.001497 0.001285 0.001157 -0.000128 -0.003581 -0.009983 -0.006402 + - -
15 5 words. 0.010471 0.009939 -0.000532 0.000162 0.000146 -0.000016 -0.000452 -0.001261 -0.000809 - - -
15 6 Shakespeare 0.001611 0.001529 -0.000082 0.000004 0.000003 -0.000000 -0.000011 -0.000030 -0.000019 - - -
15 7 wrote -0.038574 -0.036613 0.001961 0.002203 0.001984 -0.000219 -0.006140 -0.017117 -0.010977 + - -
15 8 plays -0.001633 -0.001550 0.000083 0.000004 0.000004 -0.000000 -0.000011 -0.000031 -0.000020 + - -
15 9 like -0.054790 -0.084210 -0.029420 0.004444 0.010494 0.006050 -0.012388 -0.090550 -0.078162 - + -
15 10 Hamlet, 0.043300 0.041100 -0.002200 0.002776 0.002500 -0.000276 -0.007737 -0.021570 -0.013833 - - -
15 11 exploring 0.004848 0.004601 -0.000246 0.000035 0.000031 -0.000003 -0.000097 -0.000270 -0.000173 - - -
15 12 tragedy 0.002927 0.002778 -0.000149 0.000013 0.000011 -0.000001 -0.000035 -0.000099 -0.000063 - - -
15 13 and 0.703848 1.950532 1.246683 0.733376 5.630242 4.896865 -2.044307 -48.580635 -46.536327 + + -
15 14 human -0.040897 -0.038818 0.002079 0.002476 0.002230 -0.000246 -0.006902 -0.019241 -0.012339 + - -
15 15 nature. 0.003183 0.003021 -0.000162 0.000015 0.000014 -0.000001 -0.000042 -0.000117 -0.000075 - - -
15 16 Novels, 0.026233 0.024900 -0.001333 0.001019 0.000918 -0.000101 -0.002840 -0.007917 -0.005077 - - -
15 17 Dickens’ 0.039262 0.037267 -0.001995 0.002282 0.002055 -0.000227 -0.006361 -0.017734 -0.011373 - - -
15 18 tales, -0.036611 -0.034751 0.001861 0.001984 0.001787 -0.000197 -0.005531 -0.015420 -0.009889 + - -
15 19 paint 0.017138 0.016267 -0.000871 0.000435 0.000392 -0.000043 -0.001212 -0.003379 -0.002167 - - -
15 20 society’s 0.043427 0.041220 -0.002207 0.002792 0.002514 -0.000277 -0.007782 -0.021695 -0.013913 - - -
15 21 struggles. -0.000300 -0.000285 0.000015 0.000000 0.000000 -0.000000 -0.000000 -0.000001 -0.000001 + - -
15 22 Poetry -0.005432 -0.005156 0.000276 0.000044 0.000039 -0.000004 -0.000122 -0.000339 -0.000218 + - -
15 23 uses -0.012739 -0.012091 0.000647 0.000240 0.000216 -0.000024 -0.000670 -0.001867 -0.001197 + - -
15 24 rhythm—think -0.007853 -0.007454 0.000399 0.000091 0.000082 -0.000009 -0.000254 -0.000709 -0.000455 + - -
15 25 Frost’s 0.021282 0.020200 -0.001081 0.000670 0.000604 -0.000067 -0.001869 -0.005210 -0.003341 - - -
15 26 “roads -0.019213 -0.018237 0.000976 0.000546 0.000492 -0.000054 -0.001523 -0.004247 -0.002723 + - -
15 27 diverged.” -0.022800 -0.021641 0.001159 0.000770 0.000693 -0.000076 -0.002145 -0.005980 -0.003835 + - -
15 28 Themes -0.002660 -0.002525 0.000135 0.000010 0.000009 -0.000001 -0.000029 -0.000081 -0.000052 + - -
15 29 of -0.032326 -0.030683 0.001643 0.001547 0.001393 -0.000154 -0.004312 -0.012021 -0.007709 + - -
15 30 love, 0.017354 0.016472 -0.000882 0.000446 0.000402 -0.000044 -0.001243 -0.003465 -0.002222 - - -
15 31 death, -0.037846 -0.035923 0.001923 0.002120 0.001910 -0.000211 -0.005911 -0.016478 -0.010567 + - -
15 32 identity 0.001986 0.001885 -0.000101 0.000006 0.000005 -0.000001 -0.000016 -0.000045 -0.000029 - - -
15 33 recur. 0.025448 0.024155 -0.001293 0.000959 0.000863 -0.000095 -0.002672 -0.007450 -0.004778 - - -
15 34 Authors 0.023541 0.022345 -0.001196 0.000820 0.000739 -0.000082 -0.002287 -0.006375 -0.004089 - - -
15 35 craft 0.041811 0.039686 -0.002125 0.002588 0.002331 -0.000257 -0.007214 -0.020111 -0.012897 - - -
15 36 characters, 0.010912 0.010357 -0.000555 0.000176 0.000159 -0.000018 -0.000491 -0.001370 -0.000878 - - -
15 37 from 0.040735 0.038665 -0.002070 0.002456 0.002212 -0.000244 -0.006847 -0.019089 -0.012242 - - -
