epoch word_index word pe_old pe_current pe_difference weight1_old weight1_current weight1_difference weight2_old weight2_current weight2_difference final_pe_change final_weight1_change final_weight2_change
5 53 explores 0.000000 0.008271 0.008271 0.000000 0.000062 0.000062 0.000000 -0.000099 -0.000099 + + -
5 54 tiny 0.000000 0.009568 0.009568 0.000000 0.000083 0.000083 0.000000 -0.000132 -0.000132 + + -
5 55 particles, 0.000000 0.004263 0.004263 0.000000 0.000016 0.000016 0.000000 -0.000026 -0.000026 + + -
5 56 where 0.000000 -0.005097 -0.005097 0.000000 0.000023 0.000023 0.000000 -0.000038 -0.000038 - + -
5 57 probability 0.000000 -0.003447 -0.003447 0.000000 0.000011 0.000011 0.000000 -0.000017 -0.000017 - + -
5 58 rules. 0.000000 0.018896 0.018896 0.000000 0.000322 0.000322 0.000000 -0.000516 -0.000516 + + -
5 59 Experiments 0.000000 0.035953 0.035953 0.000000 0.001166 0.001166 0.000000 -0.001868 -0.001868 + + -
5 60 test 0.000000 -0.002949 -0.002949 0.000000 0.000008 0.000008 0.000000 -0.000013 -0.000013 - + -
5 61 theories, 0.000000 -0.014873 -0.014873 0.000000 0.000199 0.000199 0.000000 -0.000320 -0.000320 - + -
5 62 dropping 0.000000 -0.003496 -0.003496 0.000000 0.000011 0.000011 0.000000 -0.000018 -0.000018 - + -
5 63 balls 0.000000 0.011847 0.011847 0.000000 0.000127 0.000127 0.000000 -0.000203 -0.000203 + + -
5 64 to 0.000000 -0.046992 -0.046992 0.000000 0.001991 0.001991 0.000000 -0.003192 -0.003192 - + -
5 65 measure 0.000000 0.026274 0.026274 0.000000 0.000623 0.000623 0.000000 -0.000998 -0.000998 + + -
5 66 acceleration. 0.000000 -0.024817 -0.024817 0.000000 0.000555 0.000555 0.000000 -0.000890 -0.000890 - + -
5 67 powers 0.000000 0.008836 0.008836 0.000000 0.000070 0.000070 0.000000 -0.000113 -0.000113 + + -
5 68 technology, 0.000000 0.004782 0.004782 0.000000 0.000021 0.000021 0.000000 -0.000033 -0.000033 + + -
5 69 from 0.000000 -0.029124 -0.029124 0.000000 0.000765 0.000765 0.000000 -0.001226 -0.001226 - + -
5 70 bridges 0.000000 -0.036960 -0.036960 0.000000 0.001232 0.001232 0.000000 -0.001975 -0.001975 - + -
5 71 lasers. 0.000000 0.014290 0.014290 0.000000 0.000184 0.000184 0.000000 -0.000295 -0.000295 + + -
5 72 end_token 0.000000 -0.017281 -0.017281 0.000000 0.000269 0.000269 0.000000 -0.000432 -0.000432 - + -
10 1 Physics -0.020589 -0.030776 -0.010187 0.000382 0.000854 0.000472 -0.000613 -0.007724 -0.007111 - + -
10 2 studies 0.004995 0.004612 -0.000383 0.000023 0.000019 -0.000003 -0.000036 -0.000173 -0.000137 - - -
10 3 the 0.010127 0.009351 -0.000777 0.000092 0.000079 -0.000014 -0.000148 -0.000713 -0.000565 - - -
10 4 universe’s 0.017215 0.015895 -0.001320 0.000267 0.000228 -0.000039 -0.000428 -0.002060 -0.001632 - - -
10 5 laws, -0.001043 -0.000963 0.000080 0.000001 0.000001 -0.000000 -0.000002 -0.000008 -0.000006 + - -
10 6 like 0.016107 0.024075 0.007969 0.000234 0.000523 0.000289 -0.000375 -0.004727 -0.004352 + + -
10 7 motion, 0.011485 0.010604 -0.000881 0.000119 0.000101 -0.000018 -0.000191 -0.000917 -0.000726 - - -
10 8 energy, 0.016905 0.015609 -0.001296 0.000258 0.000220 -0.000038 -0.000413 -0.001987 -0.001574 - - -
10 9 and 0.046595 0.295494 0.248899 0.001958 0.078761 0.076804 -0.003138 -0.712041 -0.708903 + + -
10 10 force. 0.000093 0.000085 -0.000007 0.000000 0.000000 -0.000000 -0.000000 -0.000000 -0.000000 - - -
10 11 Mechanics 0.005339 0.004929 -0.000409 0.000026 0.000022 -0.000004 -0.000041 -0.000198 -0.000157 - - -
