[2026-03-09 21:16:28] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 21:16:30] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 21:16:30] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 21:16:31] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 21:16:31] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 21:16:32] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 21:16:32] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 21:16:32] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 21:16:32] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 21:16:32] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 21:16:32] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 21:16:32] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 21:16:33] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 21:16:33] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 21:16:33] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 21:16:33] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 21:16:33] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 21:16:33] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 21:16:33] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 21:16:33] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 21:16:34] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 21:16:34] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 21:16:34] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 21:16:34] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 21:16:34] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 21:16:35] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 21:16:35] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 21:16:35] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 21:16:36] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 21:16:36] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 21:16:36] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 21:16:36] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 21:16:37] FrameRendered: from current_frame.txt | Source: renderer
