[2026-03-18 01:37:19] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:20] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:22] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:23] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:24] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:24] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:24] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:25] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:29] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:30] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:30] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:31] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:31] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:31] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:31] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:33] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:33] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:33] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:33] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:34] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:34] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:34] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:34] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:35] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:35] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:35] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:35] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:35] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:35] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:36] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:36] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:37] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:37] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:37] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:37] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:41] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:41] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:41] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:42] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:42] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:42] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:43] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:43] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:43] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:43] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:44] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:44] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:45] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:46] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:46] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:46] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-18 01:37:46] FrameRendered: from current_frame.txt | Source: renderer
