[2026-04-13 20:52:00] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 16:47:55] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 16:47:59] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-15 16:47:59] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 16:48:00] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 16:48:18] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 16:48:21] KeyCaptured: 57 ('9') | Source: keyboard_linux
[2026-04-15 16:48:21] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 16:48:26] KeyCaptured: 101 ('e') | Source: keyboard_linux
[2026-04-15 16:48:26] KeyCaptured: 112 ('p') | Source: keyboard_linux
[2026-04-15 16:48:27] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 16:48:28] KeyCaptured: 101 ('e') | Source: keyboard_linux
[2026-04-15 16:50:14] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 16:50:16] KeyCaptured: 57 ('9') | Source: keyboard_linux
[2026-04-15 16:50:17] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 16:50:23] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 16:50:23] KeyCaptured: 101 ('e') | Source: keyboard_linux
[2026-04-15 16:50:25] KeyCaptured: 52 ('4') | Source: keyboard_linux
[2026-04-15 16:50:26] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 16:50:26] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 16:50:27] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-15 16:52:08] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 16:52:15] KeyCaptured: 99 ('c') | Source: keyboard_linux
[2026-04-15 16:52:33] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 16:59:49] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 17:05:42] KeyCaptured: 4 ('?') | Source: keyboard_linux
[2026-04-15 17:05:49] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 17:05:49] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 17:05:52] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 17:05:54] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 17:07:04] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 17:07:05] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 17:09:58] KeyCaptured: 24 ('?') | Source: keyboard_linux
[2026-04-15 17:10:06] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 17:10:07] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 20:40:37] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 20:40:38] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 20:40:40] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 20:40:40] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 20:40:40] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 20:40:41] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-15 20:40:41] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 20:40:51] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 20:40:51] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 20:40:52] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 21:11:08] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 21:11:08] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:11:09] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:11:10] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:11:11] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 21:11:13] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-15 21:11:13] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:11:14] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-15 21:11:14] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:11:14] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 21:11:15] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 21:11:15] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:11:16] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 21:11:17] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 21:11:18] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 21:11:24] KeyCaptured: 1000 ('?') | Source: keyboard_linux
[2026-04-15 21:11:24] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:11:24] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 21:37:53] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 21:37:54] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 21:37:55] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:37:56] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-15 21:37:56] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:37:57] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 21:37:57] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 21:37:58] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:45:04] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-15 21:45:05] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-15 21:45:07] KeyCaptured: 27 ('?') | Source: keyboard_linux
[2026-04-15 21:45:07] KeyCaptured: 59 (';') | Source: keyboard_linux
[2026-04-15 21:45:07] KeyCaptured: 53 ('5') | Source: keyboard_linux
[2026-04-15 21:45:07] KeyCaptured: 65 ('A') | Source: keyboard_linux
[2026-04-15 21:45:07] KeyCaptured: 22 ('?') | Source: keyboard_linux
[2026-04-15 21:45:07] KeyCaptured: 22 ('?') | Source: keyboard_linux
[2026-04-15 21:45:16] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 21:45:17] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:45:17] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:45:17] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:45:17] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:45:17] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:45:18] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-15 21:45:18] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-15 21:45:18] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-15 21:45:18] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 21:45:19] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 21:45:20] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-15 21:45:20] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:45:20] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:45:20] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:45:20] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:45:21] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 21:45:22] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:45:24] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-15 21:45:24] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 21:45:25] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:45:25] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:45:25] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:45:25] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:45:26] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 21:45:26] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 21:45:27] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:53:28] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:53:28] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-15 21:53:29] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 21:53:30] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:53:30] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:53:30] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:53:30] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:53:31] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:53:31] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:53:31] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:53:31] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:53:32] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:53:32] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:53:32] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 21:53:33] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-15 21:53:33] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:53:34] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:53:34] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:53:34] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:53:34] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 21:53:42] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 21:53:44] KeyCaptured: 50 ('2') | Source: keyboard_linux
[2026-04-15 21:53:45] KeyCaptured: 50 ('2') | Source: keyboard_linux
[2026-04-15 21:53:45] KeyCaptured: 49 ('1') | Source: keyboard_linux
[2026-04-15 21:53:46] KeyCaptured: 49 ('1') | Source: keyboard_linux
[2026-04-15 21:53:46] KeyCaptured: 49 ('1') | Source: keyboard_linux
[2026-04-15 21:53:47] KeyCaptured: 49 ('1') | Source: keyboard_linux
[2026-04-15 21:53:47] KeyCaptured: 49 ('1') | Source: keyboard_linux
[2026-04-15 21:53:47] KeyCaptured: 50 ('2') | Source: keyboard_linux
[2026-04-15 21:53:47] KeyCaptured: 50 ('2') | Source: keyboard_linux
[2026-04-15 21:53:48] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:53:49] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:53:49] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:53:49] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:53:49] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:53:49] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:53:49] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:53:49] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:53:49] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:53:50] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 21:53:53] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:53:53] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:54:03] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 21:54:07] KeyCaptured: 50 ('2') | Source: keyboard_linux
[2026-04-15 21:54:07] KeyCaptured: 50 ('2') | Source: keyboard_linux
[2026-04-15 21:54:11] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:54:11] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:54:11] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:54:11] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:54:11] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:54:11] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:54:12] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:54:12] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:54:12] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:54:12] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 21:54:17] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:54:18] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 21:54:18] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 22:00:00] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 22:00:02] KeyCaptured: 49 ('1') | Source: keyboard_linux
[2026-04-15 22:00:02] KeyCaptured: 49 ('1') | Source: keyboard_linux
[2026-04-15 22:00:03] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 22:00:47] KeyCaptured: 53 ('5') | Source: keyboard_linux
[2026-04-15 22:00:48] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 22:19:11] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-15 22:19:11] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-15 22:19:12] KeyCaptured: 99 ('c') | Source: keyboard_linux
[2026-04-15 22:19:12] KeyCaptured: 99 ('c') | Source: keyboard_linux
[2026-04-15 22:19:25] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 22:19:27] KeyCaptured: 49 ('1') | Source: keyboard_linux
[2026-04-15 22:19:27] KeyCaptured: 49 ('1') | Source: keyboard_linux
[2026-04-15 22:19:28] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 20:42:24] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 20:42:26] KeyCaptured: 51 ('3') | Source: keyboard_linux
[2026-04-15 20:42:27] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 23:14:12] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 23:14:13] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 23:14:13] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 23:14:13] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 23:14:15] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 23:14:15] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-15 23:14:16] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 23:14:17] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 23:29:16] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 23:29:17] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 23:29:17] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 23:29:17] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 23:52:27] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-15 23:52:27] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 23:52:28] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-15 23:52:28] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-16 00:07:30] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-16 00:07:30] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-16 00:07:31] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-16 00:07:31] KeyCaptured: 13 ('?') | Source: keyboard_linux
