[2026-03-09 09:24:38] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 09:24:39] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 09:24:40] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 09:24:40] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 09:24:42] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 09:24:43] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 09:24:43] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 09:24:46] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 09:24:47] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 09:24:47] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 09:24:47] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 09:24:48] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 09:24:49] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 09:24:50] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 09:24:51] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-09 09:24:52] FrameRendered: from current_frame.txt | Source: renderer
