[2026-03-17 06:25:15] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:19] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:20] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:20] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:21] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:21] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:22] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:22] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:22] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:22] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:24] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:24] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:24] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:25] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:25] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:25] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:25] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:26] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:26] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:27] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:27] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:27] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:27] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:27] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:31] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:31] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:31] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:31] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:31] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:31] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:32] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:32] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:32] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:32] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:32] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:33] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:33] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:35] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:35] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:35] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:37] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:37] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:37] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:37] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-17 06:25:37] FrameRendered: from current_frame.txt | Source: renderer
