[2026-04-24 20:26:22] FrameRendered: at 2026-04-24 20:26:22 | Source: renderer
[2026-04-24 20:26:22] FrameRendered: at 2026-04-24 20:26:22 | Source: renderer
[2026-04-24 20:26:22] FrameRendered: at 2026-04-24 20:26:22 | Source: renderer
[2026-04-24 20:26:22] FrameRendered: at 2026-04-24 20:26:22 | Source: renderer
[2026-04-24 20:26:22] FrameRendered: at 2026-04-24 20:26:22 | Source: renderer
[2026-04-24 20:26:22] FrameRendered: at 2026-04-24 20:26:22 | Source: renderer
[2026-04-24 20:26:22] FrameRendered: at 2026-04-24 20:26:22 | Source: renderer
[2026-04-24 20:26:22] FrameRendered: at 2026-04-24 20:26:22 | Source: renderer
[2026-04-24 20:26:22] FrameRendered: at 2026-04-24 20:26:22 | Source: renderer
[2026-04-24 20:26:22] FrameRendered: at 2026-04-24 20:26:22 | Source: renderer
[2026-04-24 20:26:22] FrameRendered: at 2026-04-24 20:26:22 | Source: renderer
[2026-04-24 20:26:22] FrameRendered: at 2026-04-24 20:26:22 | Source: renderer
[2026-04-24 20:26:23] FrameRendered: at 2026-04-24 20:26:23 | Source: renderer
[1777076783] EntityMoved: xlector | from (0,6) to (1,6)
[2026-04-24 20:26:23] FrameRendered: at 2026-04-24 20:26:23 | Source: renderer
[1777076783] EntityMoved: xlector | from (1,6) to (2,6)
[2026-04-24 20:26:23] FrameRendered: at 2026-04-24 20:26:23 | Source: renderer
[1777076783] EntityMoved: xlector | from (2,6) to (3,6)
[2026-04-24 20:26:23] FrameRendered: at 2026-04-24 20:26:23 | Source: renderer
[1777076783] EntityMoved: xlector | from (3,6) to (4,6)
[2026-04-24 20:26:23] FrameRendered: at 2026-04-24 20:26:23 | Source: renderer
[1777076783] EntityMoved: xlector | from (4,6) to (5,6)
[2026-04-24 20:26:23] FrameRendered: at 2026-04-24 20:26:23 | Source: renderer
[1777076783] EntityMoved: xlector | from (5,6) to (6,6)
[2026-04-24 20:26:23] FrameRendered: at 2026-04-24 20:26:23 | Source: renderer
[1777076783] EntityMoved: xlector | from (6,6) to (7,6)
[2026-04-24 20:26:23] FrameRendered: at 2026-04-24 20:26:23 | Source: renderer
[2026-04-24 20:26:23] FrameRendered: at 2026-04-24 20:26:23 | Source: renderer
[1777076783] EntityMoved: xlector | from (7,6) to (8,6)
[2026-04-24 20:26:23] FrameRendered: at 2026-04-24 20:26:23 | Source: renderer
[1777076783] EntityMoved: xlector | from (8,6) to (9,6)
[2026-04-24 20:26:23] FrameRendered: at 2026-04-24 20:26:23 | Source: renderer
[1777076783] EntityMoved: xlector | from (9,6) to (10,6)
[2026-04-24 20:26:23] FrameRendered: at 2026-04-24 20:26:23 | Source: renderer
[1777076783] EntityMoved: xlector | from (10,6) to (11,6)
[2026-04-24 20:26:23] FrameRendered: at 2026-04-24 20:26:23 | Source: renderer
[1777076784] EntityMoved: xlector | from (11,6) to (12,6)
[2026-04-24 20:26:24] FrameRendered: at 2026-04-24 20:26:24 | Source: renderer
[2026-04-24 20:26:24] FrameRendered: at 2026-04-24 20:26:24 | Source: renderer
[1777076784] EntityMoved: xlector | from (12,6) to (13,6)
[2026-04-24 20:26:24] FrameRendered: at 2026-04-24 20:26:24 | Source: renderer
[2026-04-24 20:26:24] FrameRendered: at 2026-04-24 20:26:24 | Source: renderer
[1777076784] EntityMoved: xlector | from (13,6) to (12,6)
[2026-04-24 20:26:24] FrameRendered: at 2026-04-24 20:26:24 | Source: renderer
[1777076784] EntityMoved: xlector | from (12,6) to (11,6)
[2026-04-24 20:26:24] FrameRendered: at 2026-04-24 20:26:24 | Source: renderer
[1777076784] EntityMoved: xlector | from (11,6) to (10,6)
[2026-04-24 20:26:24] FrameRendered: at 2026-04-24 20:26:24 | Source: renderer
[1777076785] EntityMoved: xlector | from (10,6) to (9,6)
[2026-04-24 20:26:25] FrameRendered: at 2026-04-24 20:26:25 | Source: renderer
[1777076785] EntityMoved: xlector | from (9,6) to (10,6)
[2026-04-24 20:26:25] FrameRendered: at 2026-04-24 20:26:25 | Source: renderer
[1777076799] EntityMoved: xlector | from (10,6) to (10,5)
[2026-04-24 20:26:39] FrameRendered: at 2026-04-24 20:26:39 | Source: renderer
[1777076800] EntityMoved: xlector | from (10,5) to (10,6)
[2026-04-24 20:26:40] FrameRendered: at 2026-04-24 20:26:40 | Source: renderer
[2026-04-24 20:26:45] FrameRendered: at 2026-04-24 20:26:45 | Source: renderer
[2026-04-24 20:26:46] FrameRendered: at 2026-04-24 20:26:46 | Source: renderer
[2026-04-24 20:26:46] FrameRendered: at 2026-04-24 20:26:46 | Source: renderer
[2026-04-24 20:26:47] FrameRendered: at 2026-04-24 20:26:47 | Source: renderer
[2026-04-24 20:26:47] FrameRendered: at 2026-04-24 20:26:47 | Source: renderer
[1777076809] EntityMoved: xlector | from (10,6) to (10,5)
[2026-04-24 20:26:49] FrameRendered: at 2026-04-24 20:26:49 | Source: renderer
[2026-04-24 20:26:49] FrameRendered: at 2026-04-24 20:26:49 | Source: renderer
[1777076809] EntityMoved: xlector | from (10,5) to (9,5)
